"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country","",""
"32","Last Night","[4oUHIQIBe0LHzYfvXNW4QM]","0.492","0.673","6","-5.431","1","0.0347","0.41300","0.000000","0.1370","0.488","203.812","audio_features","7K3BhSpAxZBznislvUMVtn","spotify:track:7K3BhSpAxZBznislvUMVtn","https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn","https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn","163855","4","Canada","",""
"33","Heading South","[40ZNYROS4zLfyyBSs2PGe2]","0.680","0.246","4","-14.112","1","0.0580","0.78300","0.000000","0.1060","0.388","110.230","audio_features","2Dct3GykKZ58hpWRFfe2Qd","spotify:track:2Dct3GykKZ58hpWRFfe2Qd","https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd","https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd","171693","4","Canada","",""
"34","High Road","[40ZNYROS4zLfyyBSs2PGe2]","0.470","0.229","4","-11.028","1","0.0406","0.81500","0.000000","0.1720","0.213","113.404","audio_features","4CcozggmhXmndssEDH6YHR","spotify:track:4CcozggmhXmndssEDH6YHR","https://api.spotify.com/v1/tracks/4CcozggmhXmndssEDH6YHR","https://api.spotify.com/v1/audio-analysis/4CcozggmhXmndssEDH6YHR","199893","4","Canada","",""
"35","Miles On It","[64KEffDW9EtZ1y2vBYgq8T, 3oSJ7TBVCWMDMiYjXNiCKE]","0.634","0.761","5","-4.752","1","0.0472","0.00537","0.000000","0.5490","0.785","129.963","audio_features","4pkb8SbRGeHAvdb87v9rpf","spotify:track:4pkb8SbRGeHAvdb87v9rpf","https://api.spotify.com/v1/tracks/4pkb8SbRGeHAvdb87v9rpf","https://api.spotify.com/v1/audio-analysis/4pkb8SbRGeHAvdb87v9rpf","168454","4","Canada","",""
"36","Pink Pony Club","[7GlBOeep6PqTfFi59PTUUN]","0.610","0.650","6","-6.199","1","0.0474","0.39900","0.000000","0.1100","0.507","106.719","audio_features","1k2pQc5i348DCHwbn5KTdc","spotify:track:1k2pQc5i348DCHwbn5KTdc","https://api.spotify.com/v1/tracks/1k2pQc5i348DCHwbn5KTdc","https://api.spotify.com/v1/audio-analysis/1k2pQc5i348DCHwbn5KTdc","258035","4","Canada","",""
"37","Darling, I (feat. Teezo Touchdown)","[4V8LLVI7PbaPR0K2TGSxFF, 0fGcIStdT1OpFFhOC7Wp36]","0.373","0.818","3","-3.190","0","0.1020","0.36000","0.000000","0.4340","0.361","97.571","audio_features","0VaeksJaXy5R1nvcTMh3Xk","spotify:track:0VaeksJaXy5R1nvcTMh3Xk","https://api.spotify.com/v1/tracks/0VaeksJaXy5R1nvcTMh3Xk","https://api.spotify.com/v1/audio-analysis/0VaeksJaXy5R1nvcTMh3Xk","253834","4","Canada","",""
"38","Ain't No Love In Oklahoma (From Twisters: The Album)","[718COspgdWOnwOFpJHRZHS]","0.487","0.658","5","-9.973","1","0.0296","0.00877","0.007770","0.1000","0.282","142.180","audio_features","6GG4yyk3UATdBfTHVgI8PB","spotify:track:6GG4yyk3UATdBfTHVgI8PB","https://api.spotify.com/v1/tracks/6GG4yyk3UATdBfTHVgI8PB","https://api.spotify.com/v1/audio-analysis/6GG4yyk3UATdBfTHVgI8PB","210950","4","Canada","",""
"39","Cowgirls (feat. ERNEST)","[4oUHIQIBe0LHzYfvXNW4QM, 4GGfAshSkqoxpZdoaHm7ky]","0.621","0.779","8","-3.777","1","0.0361","0.21600","0.000009","0.1650","0.399","172.037","audio_features","7fveJ3pk1eSfxBdVkzdXZ0","spotify:track:7fveJ3pk1eSfxBdVkzdXZ0","https://api.spotify.com/v1/tracks/7fveJ3pk1eSfxBdVkzdXZ0","https://api.spotify.com/v1/audio-analysis/7fveJ3pk1eSfxBdVkzdXZ0","181621","4","Canada","",""
"40","Last Christmas - Single Version","[5lpH0xAS4fVfLkACg9DAuM]","0.733","0.598","2","-8.228","1","0.0278","0.21200","0.000004","0.1560","0.935","107.732","audio_features","06qMRF18gwbOYYbnP2du6i","spotify:track:06qMRF18gwbOYYbnP2du6i","https://api.spotify.com/v1/tracks/06qMRF18gwbOYYbnP2du6i","https://api.spotify.com/v1/audio-analysis/06qMRF18gwbOYYbnP2du6i","265960","4","Canada","",""
"41","Sweater Weather","[77SW9BnxLY8rJ0RciFqkHh]","0.613","0.808","10","-2.851","1","0.0346","0.04260","0.015900","0.1020","0.380","124.037","audio_features","0cQVqPuHQP4KEwc7ZUQmj6","spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","https://api.spotify.com/v1/tracks/0cQVqPuHQP4KEwc7ZUQmj6","https://api.spotify.com/v1/audio-analysis/0cQVqPuHQP4KEwc7ZUQmj6","240427","4","Canada","",""
"42","Not Like Us","[2YZyLoL8N0Wb9xBt1NhZWg]","0.898","0.472","1","-7.001","1","0.0776","0.01070","0.000000","0.1410","0.214","101.061","audio_features","6AI3ezQ4o3HUoP6Dhudph3","spotify:track:6AI3ezQ4o3HUoP6Dhudph3","https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3","https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3","274192","4","Canada","",""
"43","Cruel Summer","[06HL4z0CvFAxyc27GXpf02]","0.552","0.702","9","-5.707","1","0.1570","0.11700","0.000021","0.1050","0.564","169.994","audio_features","1BxfuPKGuaTgP7aM0Bbdwr","spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr","https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr","178427","4","Canada","",""
"44","Take Me To Church","[2FXC3k01G6Gw61bmprjgqS]","0.575","0.664","4","-5.303","0","0.0481","0.63700","0.000000","0.1160","0.437","129.071","audio_features","3dYD57lRAUcMHufyqn9GcI","spotify:track:3dYD57lRAUcMHufyqn9GcI","https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI","https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI","241688","4","Canada","",""
"45","Slow It Down","[22wbnEMDvgVIAGdFeek6ET]","0.432","0.583","8","-4.682","1","0.0687","0.17400","0.000000","0.0933","0.544","181.489","audio_features","51eSHglvG1RJXtL3qI5trr","spotify:track:51eSHglvG1RJXtL3qI5trr","https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr","https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr","161831","4","Canada","",""
"46","NEW DROP","[4Gso3d4CscCijv0lmajZWs]","0.757","0.628","4","-6.715","0","0.1010","0.18900","0.020900","0.2210","0.321","119.980","audio_features","2c7z5oRcPBbqRaBY2mLWcf","spotify:track:2c7z5oRcPBbqRaBY2mLWcf","https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf","https://api.spotify.com/v1/audio-analysis/2c7z5oRcPBbqRaBY2mLWcf","217333","4","Canada","",""
"47","Rockin' Around The Christmas Tree","[4cPHsZM98sKzmV26wlwD2W]","0.598","0.470","8","-8.744","1","0.0496","0.61700","0.000000","0.5050","0.879","67.086","audio_features","2EjXfH91m7f8HiJN1yQg97","spotify:track:2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97","126267","4","Canada","",""
"48","NIGHTS LIKE THIS","[2tIP7SsRs7vjIcLrU85W8J]","0.482","0.757","6","-4.586","1","0.0355","0.01370","0.001600","0.1430","0.120","142.579","audio_features","1XBYiRV30ykHw5f4wm6qEn","spotify:track:1XBYiRV30ykHw5f4wm6qEn","https://api.spotify.com/v1/tracks/1XBYiRV30ykHw5f4wm6qEn","https://api.spotify.com/v1/audio-analysis/1XBYiRV30ykHw5f4wm6qEn","86984","4","Canada","",""
"49","on one tonight","[2hlmm7s2ICUX0LVIhVFlZQ]","0.887","0.727","4","-4.318","0","0.1350","0.38100","0.000001","0.2130","0.932","130.035","audio_features","6EUcP55GlbmsmCzfL2vxtZ","spotify:track:6EUcP55GlbmsmCzfL2vxtZ","https://api.spotify.com/v1/tracks/6EUcP55GlbmsmCzfL2vxtZ","https://api.spotify.com/v1/audio-analysis/6EUcP55GlbmsmCzfL2vxtZ","90760","4","Canada","",""
"0","+57","[790FomKkXshlbRYZFtlgla, 2LRoIwlKmHjgvigdNGBHNo, 6ndLrsgT3MV5CNxIrW71fw, 3m5qlPf2OkihLz3dRYnkPA, 1vyhD5VmyZ7KMfW5gqLgo5, 1r4hJ1h58CWwUQe3MxPuau, 7j6DKwmjbxvpQO8h914uEz, 1TA5sGRlKUJXBN4ZyJuDIX]","0.848","0.712","1","-3.574","0","0.0981","0.22100","0.000000","0.1060","0.692","91.980","audio_features","3mg9jYNC1NihbthlglzrWP","spotify:track:3mg9jYNC1NihbthlglzrWP","https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP","https://api.spotify.com/v1/audio-analysis/3mg9jYNC1NihbthlglzrWP","298131","4","Costa Rica","",""
"1","Q U E V A S H A C E R H O Y ?","[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]","0.560","0.681","6","-6.304","0","0.2440","0.10300","0.000000","0.1060","0.388","155.079","audio_features","0Sr7ssScx54yxdM2ols7nW","spotify:track:0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW","223320","4","Costa Rica","",""
"2","DEGENERE 👑 (feat. benny blanco)","[7iK8PXO48WeuP03g8YR51W, 5CiGnKThu5ctn9pBxv7DGa]","0.744","0.709","6","-5.778","0","0.2840","0.05010","0.000000","0.0847","0.712","194.055","audio_features","0qeIFEGRQqHoaJtLCl0U73","spotify:track:0qeIFEGRQqHoaJtLCl0U73","https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73","https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73","130880","4","Costa Rica","",""
"3","Si Antes Te Hubiera Conocido","[790FomKkXshlbRYZFtlgla]","0.924","0.668","11","-6.795","1","0.0469","0.44600","0.000594","0.0678","0.787","128.027","audio_features","6WatFBLVB0x077xWeoVc2k","spotify:track:6WatFBLVB0x077xWeoVc2k","https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k","https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k","195824","4","Costa Rica","",""
"4","UWAIE","[3UTF2no3muGdiFXVujl94i]","0.705","0.783","9","-4.783","0","0.0403","0.13800","0.000000","0.0984","0.454","103.001","audio_features","5QjmUqgpPQgXgg4606DqZF","spotify:track:5QjmUqgpPQgXgg4606DqZF","https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF","https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF","172427","4","Costa Rica","",""
"5","LUNA","[2LRoIwlKmHjgvigdNGBHNo, 7jAs1uPnpfNmT6e5qtEPxq]","0.774","0.860","7","-2.888","0","0.1300","0.13100","0.000000","0.1160","0.446","100.019","audio_features","7bywjHOc0wSjGGbj04XbVi","spotify:track:7bywjHOc0wSjGGbj04XbVi","https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi","https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi","196800","4","Costa Rica","",""
"6","SE ME OLVIDA","[6B1hSmaLdOvChinK2Z7gfi, 2LRoIwlKmHjgvigdNGBHNo]","0.786","0.707","7","-4.386","0","0.0635","0.03990","0.000000","0.1210","0.691","82.045","audio_features","2gmd7lY3QSzLh0xIY4cRvi","spotify:track:2gmd7lY3QSzLh0xIY4cRvi","https://api.spotify.com/v1/tracks/2gmd7lY3QSzLh0xIY4cRvi","https://api.spotify.com/v1/audio-analysis/2gmd7lY3QSzLh0xIY4cRvi","225373","4","Costa Rica","",""
