Andorra,key
Andorra,mode
Andorra,acousticness
Andorra,liveness
Andorra,valence
Andorra,tempo
Austria,mode
Austria,valence
Belarus,danceability
Belarus,loudness
Belarus,mode
Belarus,instrumentalness
Belarus,liveness
Belarus,valence
Belarus,tempo
Belgium,key
Belgium,loudness
Belgium,mode
Belgium,acousticness
Belgium,instrumentalness
Belgium,tempo
Bulgaria,danceability
Bulgaria,energy
Bulgaria,loudness
Bulgaria,liveness
Bulgaria,valence
Bulgaria,tempo
Czech Republic,danceability
Czech Republic,energy
Czech Republic,key
Czech Republic,speechiness
Czech Republic,instrumentalness
Czech Republic,tempo
Denmark,danceability
Denmark,loudness
Denmark,speechiness
Denmark,liveness
Denmark,valence
Estonia,energy
Estonia,mode
Estonia,instrumentalness
Estonia,liveness
Estonia,valence
Estonia,tempo
Finland,energy
Finland,loudness
Finland,instrumentalness
Finland,valence
Finland,tempo
France,danceability
France,loudness
France,speechiness
France,acousticness
France,valence
Germany,danceability
Germany,speechiness
Germany,instrumentalness
Germany,liveness
Germany,valence
Greece,danceability
Greece,energy
Greece,key
Greece,speechiness
Greece,acousticness
Greece,liveness
Hungary,danceability
Hungary,energy
Hungary,loudness
Hungary,speechiness
Hungary,instrumentalness
Hungary,valence
Iceland,mode
Iceland,acousticness
Ireland,mode
Ireland,acousticness
Italy,energy
Italy,key
Italy,loudness
Italy,mode
Italy,speechiness
Italy,liveness
Italy,valence
Latvia,mode
Latvia,instrumentalness
Latvia,liveness
Latvia,tempo
Lithuania,danceability
Lithuania,energy
Lithuania,instrumentalness
Lithuania,valence
Lithuania,tempo
Luxembourg,energy
Luxembourg,key
Luxembourg,loudness
Luxembourg,mode
Luxembourg,instrumentalness
Luxembourg,tempo
Netherlands,energy
Netherlands,key
Netherlands,loudness
Netherlands,mode
Netherlands,instrumentalness
Netherlands,tempo
Norway,mode
Norway,acousticness
Norway,liveness
Poland,danceability
Poland,energy
Poland,key
Poland,speechiness
Poland,acousticness
Poland,liveness
Poland,tempo
Romania,danceability
Romania,energy
Romania,loudness
Romania,acousticness
Romania,liveness
Romania,valence
Romania,tempo
Slovakia,danceability
Slovakia,energy
Slovakia,key
Slovakia,speechiness
Slovakia,instrumentalness
Slovakia,tempo
Spain,danceability
Spain,energy
Spain,loudness
Spain,speechiness
Spain,acousticness
Spain,liveness
Spain,valence
Sweden,mode
Sweden,speechiness
Sweden,acousticness
Sweden,liveness
Sweden,tempo
Switzerland,energy
Switzerland,key
Switzerland,loudness
Switzerland,mode
Switzerland,instrumentalness
Ukraine,key
Ukraine,acousticness
Ukraine,instrumentalness
Ukraine,liveness
United Kingdom,energy
United Kingdom,key
United Kingdom,loudness
United Kingdom,mode
United Kingdom,valence
United Kingdom,tempo
